# System 
#####
# KRAS 
Ligand,exp_dg,pred_dg,pred_dg_error
10,-9.30949592590332,-7.78,0.12
11,-7.90701150894165,-7.29,0.12
12,-10.155041694641112,-9.69,0.13
13,-9.35037326812744,-9.0,0.14
14,-8.596160888671875,-8.23,0.16
15,-8.348081588745117,-8.2,0.12
16,-8.879389762878418,-9.42,0.15
17,-8.1974515914917,-10.14,0.16
18_8JJS,-10.30394172668457,-10.65,0.1
19,-9.441705703735352,-9.52,0.11
1_AP8784_7YUZ,-9.914809226989746,-10.24,0.12
2,-9.761053085327148,-9.35,0.12
20,-8.449899673461914,-8.5,0.11
21,-9.235339164733888,-10.27,0.1
22,-10.371087074279783,-10.8,0.1
23,-10.155041694641112,-10.45,0.1
24,-9.493258476257324,-10.17,0.1
25,-10.635504722595217,-12.53,0.12
26,-10.91397476196289,-11.6,0.1
28,-10.857505798339844,-10.47,0.11
29,-10.28314971923828,-10.32,0.12
3,-9.441705703735352,-8.79,0.12
30,-7.554656505584717,-6.76,0.11
32,-7.243883609771728,-8.11,0.1
33,-9.948675155639648,-9.39,0.12
34,-9.235339164733888,-8.2,0.11
35,-7.394513607025146,-8.18,0.11
36,-7.642592906951904,-8.86,0.11
37,-10.446825981140137,-9.5,0.11
38,-9.842591285705566,-9.79,0.11
39,-8.191435813903809,-9.58,0.12
4,-7.2319135665893555,-7.14,0.12
40,-10.395273208618164,-8.58,0.1
41,-11.6473970413208,-9.8,0.12
42,-11.86754322052002,-10.05,0.11
43,-11.86754322052002,-11.7,0.1
44,-11.86754322052002,-12.22,0.1
45_LUNA18_7YV1,-11.86754322052002,-11.16,0.11
5,-7.2319135665893555,-7.91,0.13
6,-7.2319135665893555,-8.9,0.13
7,-8.185481071472168,-6.66,0.14
8,-8.405330657958984,-8.11,0.15
9,-7.2319135665893555,-8.53,0.12
27,-7.2319135665893555,-8.6,0.13
31,-7.2319135665893555,-3.66,0.12
#####
# PCSK9
Ligand,exp_dg,pred_dg,pred_dg_error
JMC2020-Cmpd10,-8.567253112792969,-7.741238594055176,0.2300000041723251
JMC2020-Cmpd13,-6.534235000610352,-6.7612385749816895,0.2399999946355819
JMC2020-Cmpd2,-8.212141990661621,-9.011239051818848,0.1700000017881393
JMC2020-Cmpd20,-7.771552562713623,-8.72123908996582,0.2199999988079071
JMC2020-Cmpd21,-8.821185111999512,-9.051239013671877,0.209999993443489
JMC2020-Cmpd22,-7.350939750671387,-7.991238594055176,0.2399999946355819
JMC2020-Cmpd25,-6.67146635055542,-6.031238555908203,0.25
JMC2020-Cmpd27,-9.482583045959473,-10.57123851776123,0.2300000041723251
JMC2020-Cmpd29,-9.002119064331055,-10.57123851776123,0.2199999988079071
JMC2020-Cmpd3,-9.995808601379396,-10.601239204406738,0.2199999988079071
JMC2020-Cmpd30_6XIB,-10.71462059020996,-10.581238746643066,0.1700000017881393
JMC2020-Cmpd36,-6.778936862945557,,
JMC2020-Cmpd37,-9.782600402832031,-8.07123851776123,0.4399999976158142
JMC2020-Cmpd38,-8.20413875579834,-9.941238403320312,0.4399999976158142
JMC2020-Cmpd39,-11.41401481628418,-11.061238288879396,0.1700000017881393
JMC2020-Cmpd4,-9.493258476257324,-10.511239051818848,0.1800000071525573
JMC2020-Cmpd40_6XIC,-11.427956581115724,-11.691238403320312,0.1500000059604644
JMC2020-Cmpd41,-12.03799057006836,-11.621238708496094,0.1700000017881393
JMC2020-Cmpd42,-11.471863746643066,-11.391239166259766,0.1599999964237213
JMC2020-Cmpd43,-11.689735412597656,-10.98123836517334,0.1599999964237213
JMC2020-Cmpd44,-11.187724113464355,-11.281238555908203,0.1599999964237213
JMC2020-Cmpd45,-10.32768726348877,-10.111238479614258,0.2000000029802322
JMC2020-Cmpd46,-9.98336124420166,-9.868002891540527,0.1599999964237213
JMC2020-Cmpd47,-10.417919158935549,-10.681239128112791,0.1599999964237213
JMC2020-Cmpd48,-11.427956581115724,-11.29123878479004,0.1500000059604644
JMC2020-Cmpd49,-9.623451232910156,-9.66123867034912,0.1500000059604644
JMC2020-Cmpd5,-8.740339279174805,-9.191238403320312,0.2199999988079071
JMC2020-Cmpd50,-10.820952415466309,-10.57123851776123,0.1800000071525573
JMC2020-Cmpd51_6XID,-10.857505798339844,-10.91123867034912,0.1800000071525573
JMC2020-Cmpd52,-10.908080101013184,-10.391239166259766,0.1599999964237213
JMC2020-Cmpd53,-11.838635444641112,-13.521238327026367,0.1599999964237213
JMC2020-Cmpd54,-9.132567405700684,-9.001238822937012,0.209999993443489
JMC2020-Cmpd55,-10.702058792114258,-10.740989685058594,0.2399999946355819
JMC2020-Cmpd56,-10.16835594177246,-8.501238822937012,0.25
JMC2020-Cmpd57,-10.107617378234863,-9.591238975524902,0.2199999988079071
JMC2020-Cmpd58,-9.640467643737791,-8.88123893737793,0.1899999976158142
JMC2020-Cmpd59,-9.676775932312012,-8.451238632202148,0.1899999976158142
JMC2020-Cmpd60,-10.944365501403809,-9.511239051818848,0.1599999964237213
JMC2020-Cmpd61,-11.427956581115724,-11.621238708496094,0.1599999964237213
JMC2020-Cmpd66,-11.031554222106934,-11.001238822937012,0.1899999976158142
JMC2020-Cmpd7,-8.435269355773926,-8.361238479614258,0.2599999904632568
JMC2020-Cmpd75_bicyclic,-12.096041679382324,-13.61,0.39
JMC2020-Cmpd78_6XIE_bicyclic,-12.03799057006836,-11.32,0.33
JMC2020-Cmpd79_bicyclic,-10.879451751708984,-10.4,0.32
JMC2020-Cmpd80_bicyclic,-8.929207801818848,-9.09,0.36
JMC2020-Cmpd81_bicyclic,-10.033459663391112,-10.39,0.35
JMC2020-Cmpd82_bicyclic,-11.456863403320312,-11.41,0.35
JMC2020-Cmpd83_bicyclic,-9.218841552734377,-8.36,0.37
JMC2020-Cmpd84_6XIF_bicyclic,-11.668188095092772,-11.74,0.37
JMC2021-Cmpd17,-12.713088035583496,-13.264501571655272,0.3300000131130218
JMC2021-Cmpd18,-11.345149040222168,-11.52450180053711,0.3499999940395355
JMC2021-Cmpd19,-12.7782621383667,-13.664502143859863,0.2899999916553497
JMC2021-Cmpd20,-11.366378784179688,-11.04450225830078,0.4000000059604645
JMC2021-Cmpd22,-11.819208145141602,-12.094501495361328,0.3100000023841858
JMC2021-Cmpd25,-12.751325607299805,-13.68686294555664,0.3400000035762787
JMC2021-Cmpd26,-11.405804634094238,-11.35386562347412,0.4300000071525574
JMC2021-Cmpd29,-13.231789588928224,-13.1753568649292,0.3199999928474426
JMC2021-Cmpd30,-12.190285682678224,-11.37554931640625,0.4199999868869781
JMC2021-Cmpd5,-10.082192420959473,-7.794501781463623,0.3199999928474426
JMC2021-Cmpd6,-9.532791137695312,-9.064501762390137,0.3000000119209289
JMC2021-Cmpd35,-15.119976043701172,-15.87017059326172,0.3499999940395355
JMC2021-Cmpd36,-14.231548309326172,-14.550724029541016,0.3799999952316284
JMC2021-Cmpd39,-15.129374504089355,-15.3045015335083,0.3700000047683716
JMC2021-Cmpd44,-14.931166648864746,-15.034502029418944,0.3700000047683716
JMC2021-Cmpd49,-15.18832778930664,-16.174501419067383,0.3899999856948852
JMC2021-Cmpd51,-16.6353816986084,-15.474501609802246,0.3300000131130218
##### 
# MCL-1
Ligand,exp_dg,pred_dg,pred_dg_error
Cpd_1,-9.681937217712402,-9.2,0.28
Cpd_18,-7.0241546630859375,-7.54,0.28
cpd_10,-9.612153053283691,-9.25,0.31
cpd_11,-9.561697959899902,-8.81,0.26
cpd_12,-8.999772071838379,-8.09,0.3
cpd_13,-8.902780532836914,-8.24,0.38
cpd_14,-9.543832778930664,-8.39,0.35
cpd_15,-9.204773902893066,-9.85,0.29
cpd_16,-8.959051132202148,-8.64,0.33
cpd_17,-9.363207817077637,-8.51,0.28
cpd_19,-7.973564624786377,-6.71,0.29
cpd_2,-9.960407257080078,-9.65,0.3
cpd_20,-10.04976749420166,-8.51,0.22
cpd_21,-10.1889066696167,-8.81,0.3
cpd_22,-7.00365161895752,-6.359999999999999,0.35
cpd_23,-7.998960971832275,-7.54,0.27
cpd_24,-7.969435691833496,-8.39,0.24
cpd_25,-9.104525566101074,-9.2,0.33
cpd_27,-8.415725708007812,-7.58,0.27
cpd_28,-6.359496116638184,-5.75,0.28
cpd_29,-8.755650520324707,-6.8,0.22
cpd_3,-9.394281387329102,-9.39,0.31
cpd_30,-6.170323371887207,-6.43,0.3
cpd_32,-9.046027183532717,-7.11,0.23
cpd_34,-10.67374324798584,-10.21,0.27
cpd_35,-9.914809226989746,-10.1,0.27
